session_id	event_id	subevent_id	t_start	t_end	label	date_labeled
2021_02_14_14_11_26	283	4	1.0	1.25	none	2021-03-15 22:51:04.042691
2021_02_14_14_11_26	283	5	1.25	1.5	bark	2021-03-15 22:51:07.037366
2020_10_31_13_32_33	502	0	0.0	0.25	bark	2021-03-15 22:51:13.574964
2020_10_31_13_32_33	502	1	0.25	0.5	bark	2021-03-15 22:51:14.902090
2020_10_31_13_32_33	502	2	0.5	0.75	bark	2021-03-15 22:51:17.630467
2020_10_31_13_32_33	502	3	0.75	1.0	bark	2021-03-15 22:51:19.094377
2020_10_31_13_32_33	502	4	1.0	1.25	bark	2021-03-15 22:51:20.956812
2020_10_31_13_32_33	502	5	1.25	1.5	none	2021-03-15 22:51:28.150975
2020_12_03_10_15_10	2	0	0.0	0.25	play	2021-03-15 22:51:32.870975
2020_12_03_10_15_10	2	1	0.25	0.5	play	2021-03-15 22:51:34.087037
2021_02_11_16_56_39	4	0	0.0	0.25	play	2021-03-15 22:51:44.977258
2021_02_11_16_56_39	4	1	0.25	0.5	play	2021-03-15 22:51:45.921992
2021_02_11_16_56_39	4	2	0.5	0.75	play	2021-03-15 22:51:46.929991
2021_02_11_16_56_39	4	3	0.75	1.0	play	2021-03-15 22:51:47.875399
2020_12_11_15_00_16	20	0	0.0	0.25	play	2021-03-15 22:51:53.555368
2020_12_11_15_00_16	20	1	0.25	0.5	play	2021-03-15 22:51:54.618818
2020_12_11_15_00_16	20	2	0.5	0.75	play	2021-03-15 22:51:55.635420
2020_12_11_15_00_16	20	3	0.75	1.0	play	2021-03-15 22:51:56.866567
2021_02_14_14_11_26	172	0	0.0	0.25	whine	2021-03-15 22:55:00.649251
2021_02_14_14_11_26	172	1	0.25	0.5	whine	2021-03-15 22:55:01.793314
2021_02_14_14_11_26	172	2	0.5	0.75	whine	2021-03-15 22:55:02.682046
2021_02_14_14_11_26	172	3	0.75	1.0	whine	2021-03-15 22:55:03.608151
2021_02_14_14_11_26	172	4	1.0	1.25	whine	2021-03-15 22:55:07.785971
2021_02_14_14_11_26	172	5	1.25	1.5	howl	2021-03-15 22:55:11.036141
2021_02_14_14_11_26	172	6	1.5	1.75	howl	2021-03-15 22:55:13.501304
2021_02_14_14_11_26	172	7	1.75	2.0	howl	2021-03-15 22:55:16.172693
2021_02_13_19_19_33	538	0	0.0	0.25	whine	2021-03-15 22:56:19.934806
2021_02_13_19_19_33	538	1	0.25	0.5	whine	2021-03-15 22:56:20.775346
2021_02_13_19_19_33	538	2	0.5	0.75	whine	2021-03-15 22:56:21.616445
2021_02_13_19_19_33	538	3	0.75	1.0	whine	2021-03-15 22:56:22.423244
2021_02_13_19_19_33	538	4	1.0	1.25	whine	2021-03-15 22:56:23.248552
2020_11_29_15_42_52	200	0	0.0	0.25	whine	2021-03-15 22:56:32.047224
2020_11_29_15_42_52	200	1	0.25	0.5	whine	2021-03-15 22:56:33.403968
2021_02_13_19_19_33	1206	0	0.0	0.25	scratch_door	2021-03-15 22:56:45.953678
2021_02_13_19_19_33	1206	1	0.25	0.5	scratch_door	2021-03-15 22:56:48.216019
2021_02_13_19_19_33	1206	2	0.5	0.75	scratch_door	2021-03-15 22:56:49.400497
2021_02_13_19_19_33	1206	3	0.75	1.0	scratch_door	2021-03-15 22:56:51.489239
2021_02_13_19_19_33	1206	4	1.0	1.25	scratch_door	2021-03-15 22:56:53.524753
2021_02_13_19_19_33	1206	5	1.25	1.5	scratch_door	2021-03-15 22:56:54.866511
2021_02_13_19_19_33	1206	6	1.5	1.75	scratch_door	2021-03-15 22:56:56.041642
2020_11_16_19_15_50	53	0	0.0	0.25	bark	2021-03-15 22:57:02.455972
2020_11_16_19_15_50	53	1	0.25	0.5	bark	2021-03-15 22:57:06.464124
2020_11_16_19_15_50	53	2	0.5	0.75	bark	2021-03-15 22:57:08.076850
2021_01_31_14_10_30	1556	0	0.0	0.25	bark	2021-03-15 22:57:12.814003
2021_01_31_14_10_30	1556	1	0.25	0.5	bark	2021-03-15 22:57:14.389366
2020_12_02_14_53_02	2	0	0.0	0.25	whine	2021-03-15 22:57:18.253195
2020_12_11_15_00_16	20	0	0.0	0.25	play	2021-03-15 22:57:24.414377
2020_12_11_15_00_16	20	1	0.25	0.5	play	2021-03-15 22:57:25.734210
2020_12_11_15_00_16	20	2	0.5	0.75	play	2021-03-15 22:57:26.897819
2020_12_11_15_00_16	20	3	0.75	1.0	play	2021-03-15 22:57:28.605915
2021_02_17_17_12_49	16	0	0.0	0.25	bark	2021-03-15 22:57:52.465469
2021_02_17_17_12_49	16	1	0.25	0.5	none	2021-03-15 22:57:57.723080
2020_12_06_13_48_36	27	0	0.0	0.25	whine	2021-03-15 22:58:05.505802
2020_12_06_13_48_36	27	1	0.25	0.5	whine	2021-03-15 22:58:06.315564
2020_12_06_13_48_36	27	2	0.5	0.75	whine	2021-03-15 22:58:07.049376
2020_12_06_13_48_36	27	3	0.75	1.0	whine	2021-03-15 22:58:07.754536
2020_12_06_13_48_36	27	4	1.0	1.25	whine	2021-03-15 22:58:08.475023
2020_12_06_13_48_36	27	5	1.25	1.5	whine	2021-03-15 22:58:09.214339
2020_12_06_13_48_36	27	6	1.5	1.75	whine	2021-03-15 22:58:09.977877
2020_12_06_13_48_36	27	7	1.75	2.0	whine	2021-03-15 22:58:10.787054
2021_03_05_20_10_07	45	0	0.0	0.25	whine	2021-03-15 22:58:14.535721
2021_01_26_13_34_47	172	0	0.0	0.25	whine	2021-03-15 22:58:19.254694
2021_01_26_13_34_47	36	0	0.0	0.25	whine	2021-03-15 22:58:23.575426
2021_01_26_13_34_47	36	1	0.25	0.5	whine	2021-03-15 22:58:24.977124
2020_12_11_15_00_16	5	0	0.0	0.25	play	2021-03-15 22:58:29.839306
2020_12_11_15_00_16	5	1	0.25	0.5	play	2021-03-15 22:58:30.977350
2020_12_11_15_00_16	5	2	0.5	0.75	play	2021-03-15 22:58:32.009117
2020_12_11_15_00_16	5	3	0.75	1.0	play	2021-03-15 22:58:33.022270
2021_01_19_13_59_02	23	0	0.0	0.25	whine	2021-03-15 22:58:43.212574
2021_01_19_13_59_02	23	1	0.25	0.5	whine	2021-03-15 22:58:44.824463
2021_01_19_13_59_02	23	2	0.5	0.75	whine	2021-03-15 22:58:52.156359
2021_01_19_13_59_02	23	3	0.75	1.0	whine	2021-03-15 22:58:55.675334
2021_01_19_13_59_02	23	4	1.0	1.25	howl	2021-03-15 22:58:59.932360
2021_01_19_13_59_02	23	5	1.25	1.5	howl	2021-03-15 22:59:01.467335
2021_01_19_13_59_02	23	6	1.5	1.75	howl	2021-03-15 22:59:03.843943
2020_12_16_11_31_48	159	0	0.0	0.25	play	2021-03-15 22:59:38.089646
2020_12_16_11_31_48	159	1	0.25	0.5	play	2021-03-15 22:59:39.064059
2021_01_10_14_00_14	5	0	0.0	0.25	bark	2021-03-15 22:59:48.102490
2020_10_31_13_32_33	229	0	0.0	0.25	bark	2021-03-15 23:00:21.891577
2020_10_31_13_32_33	229	1	0.25	0.5	bark	2021-03-15 23:00:23.073534
2020_10_31_13_32_33	229	2	0.5	0.75	bark	2021-03-15 23:00:24.615188
2020_10_31_13_32_33	229	3	0.75	1.0	bark	2021-03-15 23:00:26.939924
2020_10_31_13_32_33	229	4	1.0	1.25	bark	2021-03-15 23:00:28.306823
2021_01_19_13_59_02	53	0	0.0	0.25	whine	2021-03-15 23:01:00.678677
2021_01_19_13_59_02	53	1	0.25	0.5	howl	2021-03-15 23:01:02.967445
2021_01_19_13_59_02	53	2	0.5	0.75	howl	2021-03-15 23:01:04.248757
2021_01_19_13_59_02	53	3	0.75	1.0	howl	2021-03-15 23:01:05.015210
2021_01_19_13_59_02	53	4	1.0	1.25	howl	2021-03-15 23:01:05.704080
2021_01_19_13_59_02	53	5	1.25	1.5	howl	2021-03-15 23:01:06.320889
2021_01_19_13_59_02	53	6	1.5	1.75	howl	2021-03-15 23:01:07.112890
2021_01_19_13_59_02	53	7	1.75	2.0	howl	2021-03-15 23:01:07.887567
2021_01_19_13_59_02	53	8	2.0	2.25	howl	2021-03-15 23:01:08.737075
2021_01_19_13_59_02	53	9	2.25	2.5	howl	2021-03-15 23:01:09.551835
2021_01_19_13_59_02	53	10	2.5	2.75	howl	2021-03-15 23:01:10.408219
2021_01_19_13_59_02	53	11	2.75	3.0	howl	2021-03-15 23:01:11.264455
2021_01_19_13_59_02	53	12	3.0	3.25	howl	2021-03-15 23:01:12.185134
2021_01_19_13_59_02	53	13	3.25	3.5	howl	2021-03-15 23:01:13.031121
2021_01_19_13_59_02	53	14	3.5	3.75	howl	2021-03-15 23:01:14.667753
2020_12_04_16_00_26	27	0	0.0	0.25	play	2021-03-15 23:01:19.632944
2020_12_16_11_31_48	53	0	0.0	0.25	play	2021-03-15 23:01:26.375208
2020_12_16_11_31_48	53	1	0.25	0.5	play	2021-03-15 23:01:27.344512
2020_12_16_11_31_48	53	2	0.5	0.75	play	2021-03-15 23:01:28.232494
2020_12_16_11_31_48	53	3	0.75	1.0	play	2021-03-15 23:01:29.165539
2020_12_16_11_31_48	53	4	1.0	1.25	play	2021-03-15 23:01:30.157166
2020_12_16_11_31_48	53	5	1.25	1.5	play	2021-03-15 23:01:31.173577
2020_12_08_15_49_07	10	0	0.0	0.25	whine	2021-03-15 23:01:34.259562
2021_01_19_13_59_02	17	0	0.0	0.25	whine	2021-03-15 23:01:59.322429
2021_01_19_13_59_02	17	1	0.25	0.5	whine	2021-03-15 23:02:00.278128
2021_01_19_13_59_02	17	2	0.5	0.75	whine	2021-03-15 23:02:01.246691
2021_01_19_13_59_02	17	3	0.75	1.0	whine	2021-03-15 23:02:02.184272
2021_01_19_13_59_02	17	4	1.0	1.25	whine	2021-03-15 23:02:03.217723
2021_01_19_13_59_02	17	5	1.25	1.5	whine	2021-03-15 23:02:04.282789
2021_01_19_13_59_02	17	6	1.5	1.75	whine	2021-03-15 23:02:05.522967
2021_01_19_13_59_02	17	7	1.75	2.0	whine	2021-03-15 23:02:06.801695
2021_01_19_13_59_02	17	8	2.0	2.25	howl	2021-03-15 23:02:09.441900
2021_01_19_13_59_02	17	9	2.25	2.5	howl	2021-03-15 23:02:10.690198
2021_01_19_13_59_02	17	10	2.5	2.75	howl	2021-03-15 23:02:11.697397
2021_01_19_13_59_02	17	11	2.75	3.0	howl	2021-03-15 23:02:12.840944
2020_12_10_15_09_02	0	0	0.0	0.25	bark	2021-03-15 23:02:30.442587
2020_12_10_15_09_02	0	1	0.25	0.5	bark	2021-03-15 23:02:34.199556
2020_12_11_15_00_16	5	0	0.0	0.25	play	2021-03-15 23:02:39.182778
2020_12_11_15_00_16	5	1	0.25	0.5	play	2021-03-15 23:02:40.255530
2020_12_11_15_00_16	5	2	0.5	0.75	play	2021-03-15 23:02:41.279796
2020_12_11_15_00_16	5	3	0.75	1.0	play	2021-03-15 23:02:42.455213
2021_01_21_10_28_44	35	0	0.0	0.25	howl	2021-03-15 23:02:49.367172
2021_01_21_10_28_44	35	1	0.25	0.5	howl	2021-03-15 23:02:50.167046
2021_01_21_10_28_44	35	2	0.5	0.75	howl	2021-03-15 23:02:50.806713
2021_01_21_10_28_44	35	3	0.75	1.0	howl	2021-03-15 23:02:51.478569
2021_01_21_10_28_44	35	4	1.0	1.25	howl	2021-03-15 23:02:52.204033
2021_01_21_10_28_44	35	5	1.25	1.5	howl	2021-03-15 23:02:52.935215
2021_01_21_10_28_44	35	6	1.5	1.75	howl	2021-03-15 23:02:53.731537
2021_01_21_10_28_44	35	7	1.75	2.0	howl	2021-03-15 23:02:54.591560
2021_01_21_10_28_44	35	8	2.0	2.25	howl	2021-03-15 23:02:55.464156
2021_01_21_10_28_44	35	9	2.25	2.5	howl	2021-03-15 23:02:56.327328
2021_02_14_14_11_26	242	0	0.0	0.25	whine	2021-03-15 23:03:46.689143
2021_02_14_14_11_26	242	1	0.25	0.5	whine	2021-03-15 23:03:49.055503
2021_02_14_14_11_26	242	2	0.5	0.75	bark	2021-03-15 23:03:51.817882
2020_10_31_13_32_33	336	0	0.0	0.25	bark	2021-03-15 23:04:01.997526
2020_10_31_13_32_33	336	1	0.25	0.5	bark	2021-03-15 23:04:02.965195
2020_10_31_13_32_33	336	2	0.5	0.75	bark	2021-03-15 23:04:09.538450
2020_11_29_15_42_52	170	0	0.0	0.25	scratch_door	2021-03-15 23:04:19.487686
2020_11_29_15_42_52	170	1	0.25	0.5	scratch_door	2021-03-15 23:04:25.590785
2020_11_29_15_42_52	170	2	0.5	0.75	scratch_door	2021-03-15 23:04:27.942880
2020_11_29_15_42_52	170	3	0.75	1.0	scratch_door	2021-03-15 23:04:35.397509
2020_11_07_16_55_23	78	0	0.0	0.25	play	2021-03-15 23:04:41.014564
2020_11_07_16_55_23	78	1	0.25	0.5	play	2021-03-15 23:04:41.965157
2020_11_07_16_55_23	78	2	0.5	0.75	play	2021-03-15 23:04:42.922639
2020_11_07_16_55_23	139	0	0.0	0.25	play	2021-03-15 23:04:46.258051
2020_11_07_16_55_23	139	1	0.25	0.5	play	2021-03-15 23:04:47.215111
2020_11_07_16_55_23	139	2	0.5	0.75	play	2021-03-15 23:04:48.274548
2021_01_21_21_14_30	1	0	0.0	0.25	whine	2021-03-15 23:05:30.088794
2021_01_14_10_07_32	20	0	0.0	0.25	play	2021-03-15 23:05:34.912884
2021_01_14_10_07_32	20	1	0.25	0.5	play	2021-03-15 23:05:36.292980
2021_03_03_12_47_56	195	0	0.0	0.25	none	2021-03-15 23:05:50.689028
2021_03_03_12_47_56	195	1	0.25	0.5	whine	2021-03-15 23:05:53.285074
2021_01_12_20_41_21	49	0	0.0	0.25	play	2021-03-15 23:05:56.724063
2021_01_12_20_41_21	49	1	0.25	0.5	play	2021-03-15 23:05:58.055309
2021_01_12_20_41_21	49	2	0.5	0.75	play	2021-03-15 23:05:59.027521
2020_12_10_15_09_02	0	0	0.0	0.25	bark	2021-03-15 23:06:03.027939
2020_12_10_15_09_02	0	1	0.25	0.5	bark	2021-03-15 23:06:04.525684
2020_12_10_15_09_02	0	0	0.0	0.25	bark	2021-03-15 23:06:08.883755
2020_12_10_15_09_02	0	1	0.25	0.5	bark	2021-03-15 23:06:10.173907
2020_11_29_15_42_52	160	0	0.0	0.25	whine	2021-03-15 23:06:13.516659
2020_11_29_15_42_52	160	1	0.25	0.5	whine	2021-03-15 23:06:14.490130
2020_11_29_15_42_52	160	2	0.5	0.75	whine	2021-03-15 23:06:15.437336
2020_11_29_15_42_52	160	3	0.75	1.0	whine	2021-03-15 23:06:16.930197
2021_02_17_17_12_49	56	0	0.0	0.25	scratch_cage	2021-03-15 23:06:42.884882
2021_02_17_17_12_49	56	1	0.25	0.5	scratch_cage	2021-03-15 23:06:46.034902
2021_02_17_17_12_49	56	2	0.5	0.75	scratch_cage	2021-03-15 23:06:47.443253
2021_02_17_17_12_49	56	3	0.75	1.0	scratch_cage	2021-03-15 23:06:48.258773
2021_02_17_17_12_49	56	4	1.0	1.25	scratch_cage	2021-03-15 23:06:49.107032
2021_02_17_17_12_49	56	5	1.25	1.5	scratch_cage	2021-03-15 23:06:49.993517
2021_02_17_17_12_49	56	6	1.5	1.75	scratch_cage	2021-03-15 23:06:50.884850
2021_02_17_17_12_49	56	7	1.75	2.0	scratch_cage	2021-03-15 23:06:51.957565
2021_02_17_17_12_49	56	8	2.0	2.25	scratch_cage	2021-03-15 23:06:52.890603
2021_02_17_17_12_49	56	9	2.25	2.5	scratch_cage	2021-03-15 23:06:53.803172
2021_02_17_17_12_49	56	10	2.5	2.75	scratch_cage	2021-03-15 23:06:54.725215
2021_02_17_17_12_49	56	11	2.75	3.0	scratch_cage	2021-03-15 23:06:55.694902
2021_02_17_17_12_49	56	12	3.0	3.25	scratch_cage	2021-03-15 23:06:56.613277
2021_02_17_17_12_49	56	13	3.25	3.5	scratch_cage	2021-03-15 23:06:57.550921
2021_02_17_17_12_49	56	14	3.5	3.75	scratch_cage	2021-03-15 23:06:58.502597
2021_02_17_17_12_49	56	15	3.75	4.0	scratch_cage	2021-03-15 23:06:59.383515
2021_02_17_17_12_49	56	16	4.0	4.25	scratch_cage	2021-03-15 23:07:00.286749
2021_02_11_16_56_39	28	0	0.0	0.25	bark	2021-03-15 23:07:03.639117
2021_02_11_16_56_39	28	1	0.25	0.5	bark	2021-03-15 23:07:07.423713
2020_12_06_13_48_36	24	0	0.0	0.25	whine	2021-03-15 23:07:10.487238
2020_12_06_13_48_36	24	1	0.25	0.5	whine	2021-03-15 23:07:11.363852
2020_12_02_14_53_02	3	0	0.0	0.25	whine	2021-03-15 23:07:14.191105
2021_02_11_16_56_39	8	0	0.0	0.25	whine	2021-03-15 23:07:16.978075
2020_11_16_19_15_50	73	0	0.0	0.25	bark	2021-03-15 23:07:25.624197
2020_11_16_19_15_50	73	1	0.25	0.5	bark	2021-03-15 23:07:26.891990
2020_11_16_19_15_50	73	2	0.5	0.75	play	2021-03-15 23:07:34.676478
2020_11_16_19_15_50	235	0	0.0	0.25	whine	2021-03-15 23:07:39.492036
2020_11_16_19_15_50	235	1	0.25	0.5	whine	2021-03-15 23:07:40.612581
2020_11_07_16_55_23	136	0	0.0	0.25	play	2021-03-15 23:07:45.316827
2020_11_07_16_55_23	136	1	0.25	0.5	play	2021-03-15 23:07:46.332402
2020_11_07_16_55_23	136	2	0.5	0.75	play	2021-03-15 23:07:47.340259
2020_11_07_16_55_23	136	3	0.75	1.0	play	2021-03-15 23:07:48.676439
2020_11_07_16_55_23	136	4	1.0	1.25	play	2021-03-15 23:07:50.564358
2020_11_07_16_55_23	136	5	1.25	1.5	play	2021-03-15 23:07:51.708435
2020_12_03_10_15_10	7	0	0.0	0.25	play	2021-03-15 23:08:43.350823
2020_12_03_10_15_10	7	1	0.25	0.5	none	2021-03-15 23:08:49.294156
2020_12_03_10_15_10	7	2	0.5	0.75	none	2021-03-15 23:08:51.096784
2021_01_16_14_38_31	38	0	0.0	0.25	howl	2021-03-15 23:09:27.574863
2021_01_16_14_38_31	38	1	0.25	0.5	howl	2021-03-15 23:09:28.347647
2021_01_16_14_38_31	38	2	0.5	0.75	howl	2021-03-15 23:09:29.021953
2021_01_16_14_38_31	38	3	0.75	1.0	howl	2021-03-15 23:09:29.724002
2021_01_16_14_38_31	38	4	1.0	1.25	howl	2021-03-15 23:09:33.938672
2021_01_19_13_59_02	6	0	0.0	0.25	whine	2021-03-15 23:09:37.515164
2020_11_29_15_42_52	125	0	0.0	0.25	bark	2021-03-15 23:09:40.890888
2020_11_29_15_42_52	125	1	0.25	0.5	bark	2021-03-15 23:09:41.803937
2020_11_29_15_42_52	125	2	0.5	0.75	bark	2021-03-15 23:09:43.030702
2020_11_17_18_23_54	163	0	0.0	0.25	bark	2021-03-15 23:09:46.392563
2020_11_17_18_23_54	163	1	0.25	0.5	bark	2021-03-15 23:09:47.616376
2021_01_16_14_38_31	48	0	0.0	0.25	howl	2021-03-15 23:10:19.421015
2021_01_16_14_38_31	48	1	0.25	0.5	howl	2021-03-15 23:10:20.285323
2021_01_16_14_38_31	48	2	0.5	0.75	howl	2021-03-15 23:10:20.989793
2021_01_16_14_38_31	48	3	0.75	1.0	howl	2021-03-15 23:10:21.701021
2021_01_16_14_38_31	48	4	1.0	1.25	howl	2021-03-15 23:10:22.372875
2021_01_16_14_38_31	48	5	1.25	1.5	howl	2021-03-15 23:10:23.043365
2021_01_16_14_38_31	48	6	1.5	1.75	howl	2021-03-15 23:10:23.725606
2021_01_16_14_38_31	48	7	1.75	2.0	howl	2021-03-15 23:10:24.436781
2021_01_16_14_38_31	48	8	2.0	2.25	howl	2021-03-15 23:10:25.059698
2021_01_16_14_38_31	48	9	2.25	2.5	howl	2021-03-15 23:10:25.717483
2021_01_16_14_38_31	48	10	2.5	2.75	howl	2021-03-15 23:10:26.549776
2021_01_16_14_38_31	48	11	2.75	3.0	howl	2021-03-15 23:10:27.228831
2021_01_16_14_38_31	48	12	3.0	3.25	howl	2021-03-15 23:10:27.979959
2020_12_10_15_09_02	0	0	0.0	0.25	bark	2021-03-15 23:10:32.125926
2020_12_10_15_09_02	0	1	0.25	0.5	bark	2021-03-15 23:10:33.569171
2021_02_17_17_12_49	59	0	0.0	0.25	bark	2021-03-15 23:10:37.891702
2021_02_17_17_12_49	59	1	0.25	0.5	bark	2021-03-15 23:10:38.925495
2021_02_17_17_12_49	59	2	0.5	0.75	bark	2021-03-15 23:10:39.917827
2020_11_16_19_15_50	78	0	0.0	0.25	play	2021-03-15 23:10:46.777209
2020_11_16_19_15_50	78	1	0.25	0.5	play	2021-03-15 23:10:47.594185
2020_11_16_19_15_50	78	2	0.5	0.75	play	2021-03-15 23:10:48.350315
2020_11_16_19_15_50	78	3	0.75	1.0	play	2021-03-15 23:10:49.153272
2020_11_16_19_15_50	78	4	1.0	1.25	play	2021-03-15 23:10:50.010352
2020_11_16_19_15_50	78	5	1.25	1.5	play	2021-03-15 23:10:50.825075
2020_11_16_19_15_50	78	6	1.5	1.75	play	2021-03-15 23:10:51.657772
2020_11_16_19_15_50	78	7	1.75	2.0	play	2021-03-15 23:10:52.570244
2020_11_16_19_15_50	78	8	2.0	2.25	play	2021-03-15 23:10:53.473590
2020_11_16_19_15_50	78	9	2.25	2.5	play	2021-03-15 23:10:54.624468
2020_11_16_19_15_50	78	10	2.5	2.75	play	2021-03-15 23:10:55.521381
2020_11_16_19_15_50	78	11	2.75	3.0	play	2021-03-15 23:10:56.457869
2021_01_31_14_10_30	192	0	0.0	0.25	whine	2021-03-15 23:11:03.530825
2021_01_31_14_10_30	192	1	0.25	0.5	whine	2021-03-15 23:11:04.897408
2021_01_31_14_10_30	192	2	0.5	0.75	whine	2021-03-15 23:11:05.906678
2021_01_31_14_10_30	192	3	0.75	1.0	bark	2021-03-15 23:11:07.793496
2021_01_31_14_10_30	192	4	1.0	1.25	whine	2021-03-15 23:11:11.189676
2021_01_31_14_10_30	192	5	1.25	1.5	whine	2021-03-15 23:11:13.382850
2021_01_31_14_10_30	192	6	1.5	1.75	bark	2021-03-15 23:11:15.543105
2021_01_31_14_10_30	192	7	1.75	2.0	none	2021-03-15 23:11:18.739258
2021_01_31_14_10_30	192	8	2.0	2.25	whine	2021-03-15 23:11:39.659226
2021_01_31_14_10_30	192	9	2.25	2.5	whine	2021-03-15 23:11:40.690430
2021_01_31_14_10_30	192	10	2.5	2.75	whine	2021-03-15 23:11:41.774446
2021_02_13_19_19_33	217	0	0.0	0.25	whine	2021-03-15 23:11:46.683301
2021_02_13_19_19_33	217	1	0.25	0.5	whine	2021-03-15 23:11:47.475592
2021_02_13_19_19_33	217	2	0.5	0.75	whine	2021-03-15 23:11:48.251033
2021_02_13_19_19_33	217	3	0.75	1.0	whine	2021-03-15 23:11:49.026057
2021_02_13_19_19_33	217	4	1.0	1.25	whine	2021-03-15 23:11:49.695613
2021_02_13_19_19_33	217	5	1.25	1.5	whine	2021-03-15 23:11:50.455301
2021_02_13_19_19_33	217	6	1.5	1.75	whine	2021-03-15 23:11:51.190726
2021_02_13_19_19_33	217	7	1.75	2.0	whine	2021-03-15 23:11:52.001325
2021_02_13_19_19_33	217	8	2.0	2.25	whine	2021-03-15 23:11:52.739030
2021_02_13_19_19_33	217	9	2.25	2.5	whine	2021-03-15 23:11:53.512441
2020_11_16_19_15_50	259	0	0.0	0.25	bark	2021-03-15 23:11:58.167969
2020_11_16_19_15_50	259	1	0.25	0.5	bark	2021-03-15 23:11:59.410442
2020_11_16_19_15_50	259	2	0.5	0.75	bark	2021-03-15 23:12:00.740486
2020_11_16_19_15_50	259	3	0.75	1.0	bark	2021-03-15 23:12:02.156240
2020_11_16_19_15_50	259	4	1.0	1.25	bark	2021-03-15 23:12:20.969351
2020_11_08_17_09_57	108	0	0.0	0.25	whine	2021-03-15 23:12:30.832895
2020_11_08_17_09_57	108	1	0.25	0.5	play	2021-03-15 23:12:34.336917
2021_02_17_17_12_49	6	0	0.0	0.25	play	2021-03-15 23:12:43.735278
2021_02_17_17_12_49	6	1	0.25	0.5	play	2021-03-15 23:12:47.007155
2020_12_08_15_49_07	5	0	0.0	0.25	play	2021-03-15 23:12:53.807581
2020_12_08_15_49_07	5	1	0.25	0.5	play	2021-03-15 23:12:54.758783
2020_12_08_15_49_07	5	2	0.5	0.75	play	2021-03-15 23:12:55.787029
2021_01_12_20_41_21	5	0	0.0	0.25	play	2021-03-15 23:13:21.013717
